"Kinds","company","product","price","brief","newest time","oldest time","if Kontakt"
"Dynamics","Waves","DBX 160","$47.64","Authentic Software Version of dbx 160 Compressor / Limiter","no reviews","no reviews","0"
"Dynamics","Softube","Transient Shaper","$43.67","Highly versatile transient shaping tool","no reviews","no reviews","0"
"Dynamics","Slate Digital","FG-Stress","$176.65","Digital replication of the Empirical Labs Distressor","no reviews","no reviews","0"
"Dynamics","Waves","PuigChild Compressor","$38.71","Modeled on a rare vintage Fairchild 670","no reviews","no reviews","0"
"Dynamics","Flux","Jünger Audio Level Magic 5.1","$399.00","Surround capable Real Time & Offline Loudness Processor","no reviews","no reviews","0"
"Dynamics","Flux","IRCAM HEar V3","$99.00","Binaural Encoding Tool","no reviews","no reviews","0"
"Dynamics","Flux","Jünger Audio Level Magic Stereo","$299.00","Real Time & Offline Loudness Processor","no reviews","no reviews","0"
"Dynamics","Waves","MaxxVolume","$38.71","All Essential Dynamic Processes in one Tool","no reviews","no reviews","0"
"Dynamics","Waves","CLA MixDown","$88.33","Ultimate Mix Buss Plug-in from Chris Lord-Alge","no reviews","no reviews","0"
"Dynamics","Overloud","Dopamine","$119.00","Enhancer Plug-in based on 2 classic tape encoding processors","no reviews","no reviews","0"
"Dynamics","Waves","Brauer Motion","$28.78","Stereo auto-panner designed with top mixer Michael Brauer","no reviews","no reviews","0"
"Dynamics","Waves","Smack Attack","$27.79","A secret weapon for mixing percussive instruments","no reviews","no reviews","0"
"Dynamics","Lindell Audio","354E","$197.49","Vintage Vibe Compressor","no reviews","no reviews","0"
"Dynamics","Brainworx","Millennia TCL-2","$296.74","Faithful emulation of the beloved Millennia Twincom","no reviews","no reviews","0"
"Dynamics","FabFilter","Pro-MB","$187.57","Powerful multiband Compressor/expander Plug-in","no reviews","no reviews","0"
"Dynamics","FabFilter","Pro-DS","$167.72","Highly intelligent and transparent De-essing Plug-in","no reviews","no reviews","0"
"Dynamics","FabFilter","Pro-C 2","$167.72","Professional Compressor Plug-in","no reviews","no reviews","0"
"Dynamics","FabFilter","Pro-G","$167.72","Highly flexible gate/expander plug-in","no reviews","no reviews","0"
"Dynamics","SPL","TwinTube","$197.49","Plugin Version of SPL’s world-class Tube Effect Processor","no reviews","no reviews","0"
"Dynamics","SPL","Attacker PLUS","$98.25","Attack section of the original Transient Designer","no reviews","no reviews","0"
"Dynamics","SPL","De-Essers","$197.49","Emulation of the SPL De-Esser + a Dual Band De-Esser","no reviews","no reviews","0"
"Dynamics","SPL","Mo-Verb PLUS","$78.40","Extend Room Tone/Reverb with a single knob","no reviews","no reviews","0"
"Dynamics","Unfiltered Audio","G8","$68.48","Professional Dynamics Workstation & Experimental Amplitude","no reviews","no reviews","0"
"Dynamics","Lindell Audio","7X-500","$98.25","The Sound of “76” FET Compression","no reviews","no reviews","0"
"Dynamics","Slate Digital","FG-116 Blue","$149.00","Two vintage compressor modules for the Virtual Mix Rack","no reviews","no reviews","0"
"Dynamics","Flux","Bitter Sweet Pro","$159.00","Frequency Dependent Transient Designer","no reviews","no reviews","0"
"Dynamics","Waves","BSS DPR-402","$66.49","Compressor - Peak Limiter - De-Esser","no reviews","no reviews","0"
"Dynamics","Waves","API 2500","$27.79","Modeled Vintage Compressor Plugin","no reviews","no reviews","0"
"Dynamics","Waves","C6 Multiband Compressor","$27.79","Multiband Compressor Plugin","no reviews","no reviews","0"
"Dynamics","Slate Digital","FG-Bomber","$99.00","Analog Modeled Dynamic Impact Enhancer","no reviews","no reviews","0"
"Dynamics","Vertigo","VSC-2","$299.00","Classic tone of the best VCA compressors from the 70s & 80s","no reviews","no reviews","0"
"Dynamics","Waves","eMo D5 Dynamics","$66.49","5-in-1 Multi-Dynamics with Parallel Detection technology","no reviews","no reviews","0"
"Dynamics","Waves","Eddie Kramer PIE Compressor","$27.79","Modeled compressor plugin by Eddie Kramer","no reviews","no reviews","0"
"Dynamics","Eventide","Omnipressor","$147.87","Omnipressor, a Classic Rack Effect now available as a Plugin","no reviews","no reviews","0"
"Dynamics","Waves","CLA Classic Compressors","$128.02","Classic compressors developed with Chris Lord-Alge","no reviews","no reviews","0"
"Dynamics","Waves","Vocal Rider","$27.79","Rides the levels of vocal tracks, automatically.","no reviews","no reviews","0"
"Dynamics","Slate Digital","VBC - Virtual Buss Compressors","$149.00","Three unique sounding, analog modeled dynamic processors","no reviews","no reviews","0"
"Dynamics","Softube","Valley People Dyna-mite","$78.40","The only officially supported Dyna-mite plug-in!","no reviews","no reviews","0"
"Dynamics","Softube","Summit TLA-100A","$107.18","The TLA-100A is the ""set-and-forget"" compressor","no reviews","no reviews","0"
"Dynamics","Softube","FET Compressor","$88.33","Accurate emulation of the solid state compressor","no reviews","no reviews","0"
"Delay & Modulation","Output","Movement","$149.00","Movement – Rhythm FX Engine","no reviews","no reviews","0"
"Delay & Modulation","AAS","Objeq Delay","$64.01","Creative delay with unique filtering options","no reviews","no reviews","0"
"Delay & Modulation","Zynaptiq","Wormhole","$187.57","Otherworldly Multi-effects Processor Plug-in","no reviews","no reviews","0"
"Delay & Modulation","UVI","Rotary","$79.00","Rotary Speaker Emulation with modern controls","no reviews","no reviews","0"
"Delay & Modulation","McDSP","EC-300 Echo Collection","$99.00","Dozens of echo and chorus effects in one single plug-in","no reviews","no reviews","0"
"Delay & Modulation","Eventide","Fission","$197.49","Split audio into transient and tonal components","no reviews","no reviews","0"
"Delay & Modulation","Nomad Factroy","Garbage LSD","$25.00","Lethal Sound Designer","no reviews","no reviews","0"
"Delay & Modulation","Slate Digital","Repeater","$149.00","Dual delay effect processor","no reviews","no reviews","0"
"Delay & Modulation","Antares","Mic Mod EFX","$98.25","Classic Microphone Modeler","no reviews","no reviews","0"
"Delay & Modulation","Softube","Fix Flanger and Doubler","$88.33","The Legacy Sound of Classic Flanging and Vocal Doubling","no reviews","no reviews","0"
"Delay & Modulation","UVI","Relayer","$129.00","Precision Creative Delay Plug-in","no reviews","no reviews","0"
"Delay & Modulation","Brainworx","bx_shredspread","$98.25","Tone, Stereo Width and Pan Control Plugin","no reviews","no reviews","0"
"Delay & Modulation","Brainworx","bx_stereomaker","$128.02","Convert quickly and easily mono signals to stereo","no reviews","no reviews","0"
"Delay & Modulation","iZotope","Trash 2 XL","$25.80","Audio Mangling, Distortion and Experimentation Plug-in","no reviews","no reviews","0"
"Delay & Modulation","McDSP","Analog Channel","$49.00","Emulates the Sounds of Analog Tapes Machines, Tapes and more","no reviews","no reviews","0"
"Delay & Modulation","McDSP","FutzBox","$79.00","Distortion and Noise Generator Plug-in","no reviews","no reviews","0"
"Delay & Modulation","Polyverse Music","Gatekeeper","$38.71","The ultimate In-Your-Face Gating Effect","no reviews","no reviews","0"
"Delay & Modulation","Softube","Fix Phaser","$75.43","Lush vintage phasing sound in a modern plugin package","no reviews","no reviews","0"
"Delay & Modulation","Output","Current Expansion Pack for Movement","$35.00","Subtle shifts and gradually evolving rhythms.","no reviews","no reviews","0"
"Delay & Modulation","Eventide","UltraTap","$79.00","An unique Multi-tap Effect","no reviews","no reviews","0"
"Delay & Modulation","Toontrack","EZmix-Pack Ambient Delays","$27.79","50 delays for Sound Design, Ambient Soundscapes and Mixing","no reviews","no reviews","0"
"Delay & Modulation","FabFilter","Timeless 2","$118.10","Ultra-flexible tape delay plug-in","no reviews","no reviews","0"
"Delay & Modulation","FabFilter","Volcano 2","$118.10","Versatile Filter Effect Plug-in with an unique Character","no reviews","no reviews","0"
"Delay & Modulation","Output","Beyond 4/4 Expansion Pack for Movement","$35.00","Add interesting rhythms to any track","no reviews","no reviews","0"
"Delay & Modulation","FabFilter","Saturn","$147.87","Multiband distortion, saturation and amp modelling Plug-in","no reviews","no reviews","0"
"Delay & Modulation","Unfiltered Audio","Indent","$48.63","Plugin for Guitar Pedal-style effects and unusual sounds","no reviews","no reviews","0"
"Delay & Modulation","Unfiltered Audio","Fault","$68.48","Pitch / Mod Tool Soothes or Savages Sound","no reviews","no reviews","0"
"Delay & Modulation","iZotope","Möbius Filter","$43.67","Creates perpetually rising or falling Effects","no reviews","no reviews","0"
"Delay & Modulation","Waves","Butch Vig Vocals","$57.56","Butch Vig’s signature Vocal Sound in a single plugin","no reviews","no reviews","0"
"Delay & Modulation","Zynaptiq","Morph 2","$187.57","Real-Time structural audio morphing","no reviews","no reviews","0"
"Delay & Modulation","Eventide","H3000 Factory","$330.48","A re-creation of several Algorithms from the H3000.","no reviews","no reviews","0"
"Delay & Modulation","iZotope","Stutter Edit","$87.33","An innovative tool for studio and stage","no reviews","no reviews","0"
"Delay & Modulation","iZotope","DDLY Dynamic Delay","$43.67","Get a cleaner, more complex sound with DDLY!","no reviews","no reviews","0"
"Delay & Modulation","Eventide","H 3000 Band Delays","$199.00","The H3000 Band Delays multiple delay effect device","no reviews","no reviews","0"
"Delay & Modulation","Softube","Tube Delay","$43.67","a marriage between analog and digital!","no reviews","no reviews","0"
"Delay & Modulation","Antares","Harmony Engine EVO","$187.57","Vocal Modeling Harmony Generator","no reviews","no reviews","0"
"Delay & Modulation","UVI","Thorus","$79.00","Polyphase Modulator - Chorus","no reviews","no reviews","0"
"Channel Strips","Audified","TNT Voice Executor","$62.00","One-click Voice Track editing Plug-in for Speech and Singing","no reviews","no reviews","0"
"Channel Strips","Nomad Factroy","Analog Studio Rack","$49.00","The ultimate Modular Rack Plug-in","no reviews","no reviews","0"
"Channel Strips","Softube","British Class A Expansion","$157.80","Channel Emulation for Softube Console 1","no reviews","no reviews","0"
"Channel Strips","Slate Digital","VMR - Virtual Mix Rack","$179.00","Virtual Rack with four World Class Mix Modules","no reviews","no reviews","0"
"Channel Strips","Softube","SSL XL9000K","$177.65","Solid State Logic XL 9000 K Extension for Console 1","no reviews","no reviews","0"
"Channel Strips","Softube","Summit Grand Channel","$197.49","Two legendary studio standards for your DAW!","2015","2015","0"
"Channel Strips","Softube","Tube-Tech Classic Channel","$196.50","Interesting Analog Bundle with great effects!","no reviews","no reviews","0"
"Channel Strips","Nomad Factroy","Drum Tools","$39.00","The Ultimate DRUM TRACKS Multi-FX Rack Plug-in","no reviews","no reviews","0"
"Channel Strips","Waves","EMI TG12345","$27.79","Virtual Channelstrip with a Compressor and EQ","no reviews","no reviews","0"
"Channel Strips","Eventide","Ultra Channel","$247.12","64-bit Channel Strip with Micro Pitch and Stereo Delay","2015","2015","0"
"Channel Strips","Waves","JJP Strings & Keys","$27.79","All-in-one multi-effect plugin for keyboards and strings","no reviews","no reviews","0"
"Equalizers & Filters","Sonible","frei:raum","$157.80","frei:raum | three EQs - one plug-in","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Q-Clone","$48.63","Massive Library of Classic EQs","no reviews","no reviews","0"
"Equalizers & Filters","Flux","Epure","$239.00","Precision Tool for Equalizing & Filtering","no reviews","no reviews","0"
"Equalizers & Filters","Antares","SoundSoap 5 Plus","$247.12","Powerful audio restoration","no reviews","no reviews","0"
"Equalizers & Filters","Audified","RZ062 Equalizer","$179.00","Virtual emulation of Klangfilm RZ062a and RZ062b valve EQ","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","Regroover Pro","$119.00","Artificial-intelligence beat machine","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","Regroover Essential","$49.00","Sampling reimagined","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","Single-Knob Pack","$59.00","Bundle consisting of ERA-N and ERA-R","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","ERA-D","$149.00","Simultaneously removes noise and reverberation","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","ERA-R","$39.00","Single-knob Dereverberation Plug-in","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","ERA-N","$39.00","Single Knob Denoise Plug-in","no reviews","no reviews","0"
"Equalizers & Filters","Overloud","EQ84","$119.00","Discrete Class A British EQ","no reviews","no reviews","0"
"Equalizers & Filters","Audionamix","ADX Trax Pro 3 SP","$499.00","Automated speech separation software Pro Edition","no reviews","no reviews","0"
"Equalizers & Filters","Audionamix","ADX Trax 3 SP","$299.00","Automated speech separation software","no reviews","no reviews","0"
"Equalizers & Filters","Audionamix","ADX SVC","$124.00","Volume control over speech and backround elements","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","AE600 Active EQ","$129.00","The next generation of active equalization","no reviews","no reviews","0"
"Equalizers & Filters","Zynaptiq","Unfilter","$395.98","Adaptive Tonal Contour Linearization","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","SA-2 Dialog Processor","$79.00","Enhance your recorded speech, dialogs and vocals","no reviews","no reviews","0"
"Equalizers & Filters","Waves","RS56 Passive Equalizer","$34.74","Passive Equalizer with powerful sound-shaping capabilities","no reviews","no reviews","0"
"Equalizers & Filters","Rob Papen","RP-EQ","$74.43","Rob Papen style EQ with many great Presets","no reviews","no reviews","0"
"Equalizers & Filters","Audionamix","ADX Trax Pro","$249.00","Professional Audio Source Separation Software for Mac","no reviews","no reviews","0"
"Equalizers & Filters","Audionamix","ADX Trax","$149.00","Separate Melodic Content from Mono or Stereo Audio Files","no reviews","no reviews","0"
"Equalizers & Filters","Audioease","Speakerphone 2","$424.76","Authentic speaker and microphone emulation","no reviews","no reviews","0"
"Equalizers & Filters","SoundRadix","PI Phase Interactions Mixer","$249.00","Multi-channel Phase Interactions Mixer Plug-in","no reviews","no reviews","0"
"Equalizers & Filters","SoundRadix","Auto Align","$149.00","Automatic, Sample Accurate Time & Phase Alignment","no reviews","no reviews","0"
"Equalizers & Filters","SoundRadix","Surfer EQ","$199.00","Pitch-tracking Equalizer Plug-in","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","FilterBank","$49.00","3 Vintage and Modern High-End EQ´s and Filters","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","Channel G","$89.00","3 Big Board Sound Equalizer and Dynamics Plug-ins","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","NF575 Noise Filter","$39.00","Filter Set designed to remove a Wide Variety of Noise Types","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","AE400 Active EQ","$49.00","Made up of 4 bands of fixed & active equalization","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","6020 Ultimate EQ","$79.00","The 6020 Ultimate EQ is a Collection of 10 EQ Models","no reviews","no reviews","0"
"Equalizers & Filters","McDSP","4020 Retro EQ","$29.00","Four-band EQ and Complimentary Filter Set","no reviews","no reviews","0"
"Equalizers & Filters","Brainworx","bx_dynEQ V2","$296.74","All-inclusive dynamics Processor and EQ System","no reviews","no reviews","0"
"Equalizers & Filters","Softube","Mutronics Mutator","$75.43","Create Mind Boggling Filter Sweep Effects","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Bass Rider","$48.63","A plugin that rides bass levels automatically.","no reviews","no reviews","0"
"Equalizers & Filters","Waves","REDD","$27.79","Virtual version of an Abbey Road Studios Legend","no reviews","no reviews","0"
"Equalizers & Filters","Sonible","smart:EQ live","$147.87","The intelligent Live EQ by sonible","no reviews","no reviews","0"
"Equalizers & Filters","Sonible","smart:EQ+","$63.52","The intelligent Audio Plug-in by sonible","no reviews","no reviews","0"
"Equalizers & Filters","Sonible","entropy:EQ+","$63.52","The surgical Sound Design Tool by sonible","no reviews","no reviews","0"
"Equalizers & Filters","Sonible","proximity:EQ+","$63.52","The acoustic Zoom Plug-in by sonible","no reviews","no reviews","0"
"Equalizers & Filters","accusonus","Regroover Pro Holiday Bundle","$199.00","Regroover Pro including four Expansion Packs","no reviews","no reviews","0"
"Equalizers & Filters","Softube","4ms Pingable Envelope Generator (PEG)","$22.83","Two-channel pingable envelope generator","no reviews","no reviews","0"
"Equalizers & Filters","Sugar Bytes","WOW2","$98.25","Creative Multi-Filterbox","no reviews","no reviews","0"
"Equalizers & Filters","Antares","SoundSoap 5","$147.87","Record and clean your media files","no reviews","no reviews","0"
"Equalizers & Filters","Waves","H-EQ Hybrid Equalizer","$47.64","Powerful hybrid equalizer","no reviews","no reviews","0"
"Equalizers & Filters","Waves","F6","$64.51","Precision EQ triggered by a built-in dynamic processor","no reviews","no reviews","0"
"Equalizers & Filters","Brainworx","Millennia NSEQ-2","$296.74","Premium Mixing and Mastering EQ","no reviews","no reviews","0"
"Equalizers & Filters","FabFilter","Pro-Q 2","$167.72","Top-quality EQ plug-in","no reviews","no reviews","0"
"Equalizers & Filters","FabFilter","Simplon","$54.58","Basic and easy to use Filter Plug-in","no reviews","no reviews","0"
"Equalizers & Filters","FabFilter","Micro","$33.74","Analog-sounding filter plug-in","no reviews","no reviews","0"
"Equalizers & Filters","SPL","De-Verb PLUS","$78.40","Reduce Reverb & Room Tone Quickly & Easily","no reviews","no reviews","0"
"Equalizers & Filters","SPL","DrumXchanger","$197.49","Easy & precise drum replacement tool","no reviews","no reviews","0"
"Equalizers & Filters","SPL","EQ Ranger Plus","$197.49","181 EQ settings created by Top Engineers","no reviews","no reviews","0"
"Equalizers & Filters","SPL","Passeq","$247.12","The Most Powerful Passive EQ - EVER!","no reviews","no reviews","0"
"Equalizers & Filters","Lindell Audio","PEX-500","$98.25","Classic passive Pultec tone and features","no reviews","no reviews","0"
"Equalizers & Filters","Eiosis","AirEQ Premium + e2deesser Bundle","$247.12","limited tiem bundle of AirEQ and e2deesser","no reviews","no reviews","0"
"Equalizers & Filters","Eiosis","e2deesser","$136.96","Meets all demands of the simplest to most advanced tasks","no reviews","no reviews","0"
"Equalizers & Filters","Eiosis","AirEQ Premium","$136.96","Simple, intuitive and fast-performing Equalizer Plugin","no reviews","no reviews","0"
"Equalizers & Filters","Eiosis","Air & Earth Modules","$45.00","Brings AirEQ within the Slate Digital Virtual Mix Rack","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Scheps Parallel Particles","$47.64","Andrew’s four go-to mixing processes","no reviews","no reviews","0"
"Equalizers & Filters","Waves","PuigTec EQs","$38.71","Modeled on rare vintage Pultec EQs","no reviews","no reviews","0"
"Equalizers & Filters","Waves","NS-1 Noise Suppressor","$47.64","Intuitives, professionelles Noise Suppression Plugin","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Linear Phase EQ","$27.79","Equalizer Plugin for Mastering","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Greg Wells MixCentric","$48.63","Quick solution for finalizing your Mix","no reviews","no reviews","0"
"Equalizers & Filters","Waves","API 550","$27.79","A Pair of versatile EQs with a One of a Kind API Sound","no reviews","no reviews","0"
"Equalizers & Filters","Waves","Scheps 73","$29.00","Colorful 3-band EQ modeled on the Classic 1073 Console","no reviews","no reviews","0"
"Equalizers & Filters","Waves","GEQ","$48.63","Full-featured Graphic Equalizer Plugin","no reviews","no reviews","0"
