"Kinds","company","product","price","brief","newest time","oldest time","if Kontakt"
"Strings","Cinematic Strings","Cinematic Strings 2","$299.00","Cinematic String Library, inspiring and effective","2013","2012","1"
"Strings","VSL Special Editions","Special Edition Collection Vol. 3","$345.00","Vienna Symphonic Library - Appassionata & Muted Strings","2012","2012","0"
"Strings","Project SAM","Orchestral Essentials","$266.25","Orchestral Essentials - the essence of film scoring","2012","0114","1"
"Strings","VSL Special Editions","Special Edition Section Vol. 1 Strings","$150.00","The Solo Strings & Orchestral Strings of the SE Vol. 1","no reviews","no reviews","0"
"Strings","VSL Special Editions","Special Edition Section Vol. 1 Strings PLUS","$150.00","The ideal extension for Special Edition Vol. 1 Strings","no reviews","no reviews","0"
"Strings","VSL Special Editions","Special Edition Section Vol. 2 Strings","$125.00","The string ensembles of the SE Vol 2 Collection","no reviews","no reviews","0"
"Strings","VSL Special Editions","Special Edition Section Vol. 2 Strings PLUS","$125.00","The ideal extension for SE Vol 2 strings","no reviews","no reviews","0"
"Strings","VSL Instruments Bundles","Symphonic Cube","$1995.00","A professional orchestra in a giant bundle","no reviews","no reviews","0"
"Strings","Project SAM","Symphobia 2","$444.75","Add classical elements to your production, fast and easy!","2011","2011","1"
"Strings","Project SAM","Symphobia Bundle 1+2","$801.75","This bundle contains Symphobia and Symphobia 2","no reviews","no reviews","1"
"Strings","VSL Instruments Bundles","Strings Complete","$3190.00","The entire range of VSL strings","no reviews","no reviews","0"
"Strings","VSL Instruments Bundles","Chamber Strings Bundle","$495.00","Both Chamber Strings collections in a bundle","no reviews","no reviews","0"
"Strings","VSL Instruments Bundles","Appassionata Strings Bundle","$545.00","Appassionata Strings I & II Bundle","no reviews","no reviews","0"
"Strings","VSL Instruments Bundles","Solo Strings Bundle","$695.00","All solo strings collections made by Vianna Instruments","no reviews","no reviews","0"
"Strings","VSL Instruments Bundles","Orchestral Strings Bundle","$495.00","The complete string section of the full symphonic orchestra","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Solo Strings II","$235.00","All articulations of solo strings as con sordino","no reviews","no reviews","0"
"Strings","Project SAM","Symphobia","$441.39","Legendary library, adds clasical elements to your production","2010","2008","1"
"Strings","VSL Instruments Collections","Chamber Strings II","$255.00","The expansion of the Chamber Strings as con sordino","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Appassionata Strings II","$275.00","The large muted string ensemble of VSL","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Appassionata Strings I","$335.00","The largest string ensembles of Vienna Instruments","2007","2007","0"
"Strings","VSL Instruments Collections","Chamber Strings I","$295.00","Dynamic and vibrant small string ensembles","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Orchestral Strings I","$335.00","Large orchestral violin & viola ensemble","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Orchestral Strings II","$295.00","Vienna Instruments orchestral cello and double bass ensemble","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Solo Strings I","$275.00","The legendary solo strings of Vienna Instruments","2012","2012","0"
"Strings","Cinematic Strings","Cinematic Studio Solo Strings","$299.00","Beautifully detailed, intimate and expressive Solo Strings","no reviews","no reviews","1"
"Strings","Gothic Instruments","Dronar Live Strings","$78.40","Playable pads and atmospheres creator","no reviews","no reviews","1"
"Strings","cinesamples","CineStrings RUNS + Hollywoodwinds + CineHarps Bundle","$349.00","Specially-priced Bundle","no reviews","no reviews","1"
"Strings","Best Service","Chris Hein Solo Violin Update","$49.00","Update for all registered Users of Chris Hein Solo Violin","no reviews","no reviews","0"
"Strings","Heavyocity","NOVO: Modern Strings","$439.20","Superior Orchestral Strings","no reviews","no reviews","1"
"Strings","cinesamples","CineStrings COMPLETE Bundle","$649.00","All 3 Strings libraries from the CineSeries","no reviews","no reviews","1"
"Strings","cinesamples","Viola da Gamba","$99.00","Versatile 6-stringed Renaissance Instrument","no reviews","no reviews","1"
"Strings","Cinematique Instruments","Interval","$98.25","Unique sounds, real life and breath","no reviews","no reviews","1"
"Strings","Cinematique Instruments","Zilhouette Strings","$77.41","Versatile Collection of Strings by Cinematique Instruments","no reviews","no reviews","1"
"Strings","VSL Single Instruments","Solo Violin 2","$185.00","Extensive Solo Violin Library","no reviews","no reviews","0"
"Strings","VSL Single Instruments","Solo Cello 2","$185.00","Solo Cello with an extensive range of articulations","no reviews","no reviews","0"
"Strings","East West","Hollywood Solo Violin Gold","$99.00","Solo Violin virtual instrument","no reviews","no reviews","0"
"Strings","East West","Hollywood Solo Cello Gold","$99.00","Solo Cello virtual instrument","no reviews","no reviews","0"
"Strings","Cinematic Strings","Cinematic Studio Strings","$399.00","A powerful Strings sample library for Kontakt Player","no reviews","no reviews","1"
"Strings","Embertone","Intimate Strings Bundle","$375.00","The Intimate Strings Solo Bundle","no reviews","no reviews","1"
"Strings","Embertone","Friedlander Violin","$125.00","Extensively sampled, living Solo Violin","no reviews","no reviews","1"
"Strings","Embertone","Fischer Viola","$125.00","Solo Viola for Kontakt Player 5","no reviews","no reviews","1"
"Strings","Embertone","Blakus Cello","$125.00","Expressive, beastly Cello","no reviews","no reviews","1"
"Strings","Embertone","Leonid Bass","$125.00","Deeply-sampled Upright Bass","no reviews","no reviews","1"
"Strings","cinesamples","CineStrings SOLO","$279.00","Library of Orchestral String Soloists","no reviews","no reviews","1"
"Strings","East West","Hollywood Solo Series Diamond","$429.00","Diamond Collection of East West´s Harp, Cello and Violin","no reviews","no reviews","0"
"Strings","East West","Hollywood Solo Series Gold","$249.00","Gold Edition of East West´s Harp, Cello and Violin","no reviews","no reviews","0"
"Strings","Neocymatics","Hybrid Strings","$245.00","3 Libraries in 1 - each with its own character and tone","no reviews","no reviews","1"
"Strings","Soundiron","Street Erhu","$49.00","Truly unique Chinese Erhu Violin live performance phrases","no reviews","no reviews","1"
"Strings","cinesamples","CineStrings CORE","$349.00","Orchestral Strings Essentials recorded at the MGM Stage","no reviews","no reviews","1"
"Strings","cinesamples","CineStrings Runs","$109.00","Strings collection of tempo-locked runs, scales and rips","no reviews","no reviews","1"
"Strings","Big Fish Audio","Vintage Strings","$139.30","A pure '60s and '70s violin section virtual instrument","no reviews","no reviews","1"
"Strings","Project SAM","Symphobia Colours Pack","$222.00","Bundle including ANIMATOR & ORCHESTRATOR","no reviews","no reviews","1"
"Strings","Project SAM","Orchestrator","$132.75","Inspirational tool for orchestral production","2014","2014","1"
"Strings","East West","Hollywood Strings Gold","$132.00","Hollywood-Sound Strings, GOLD Edition","no reviews","no reviews","0"
"Strings","East West","Hollywood Strings Diamond","$199.00","Hollywood-Sound Strings, DIAMOND Edition","2010","2010","0"
"Strings","East West","QL SILK","$199.00","Traditional instruments from China, Persia and India","2009","2009","0"
"Strings","East West","QL Gypsy","$199.00","The virtual Gipsy orchestra from East West, Hollywood","no reviews","no reviews","0"
"Strings","Output","Modern String Beds Expansion for Analog Strings","$35.00","Beds with modern edge and a dash of grit","no reviews","no reviews","0"
"Strings","East West","Hollywood Strings Silver","$79.00","Hollywood-Sound Strings, SILVER Edition","no reviews","no reviews","0"
"Strings","SonuScore","Lyrical Cello Phrases","$99.00","Expressive Phrases and Legato Instrument","no reviews","no reviews","1"
"Strings","Heavyocity","Intimate Textures","$119.20","Violin, viola and cello chamber string ensembles","no reviews","no reviews","1"
"Strings","Output","Neon Strings Expansion Pack for Analog Strings","$35.00","100 Presets for Analog Strings","no reviews","no reviews","0"
"Strings","AAS","String Studio VS-2","$78.90","Virtual string modeling synthesizer","no reviews","no reviews","0"
"Strings","cinesamples","CineSymphony Complete Bundle","$2299.00","Nine orchestral Libraries in a bundle","no reviews","no reviews","1"
"Strings","Big Fish Audio","London Solo Strings","$69.30","Solo String Multi-sample Instruments","no reviews","no reviews","1"
"Strings","Big Fish Audio","Tension: Orchestral FX & Elements","$104.30","A comprehensive collection of Orchestral FX","no reviews","no reviews","1"
"Strings","Vir2 (by Big Fish)","Violence","$74.25","Unusual & special violin sounds - crazy articulations & FX!","no reviews","no reviews","1"
"Strings","Zero-G","Spiritoso","$68.48","Playable cello phrases with a wide variety of patterns!","no reviews","no reviews","1"
"Strings","Zero-G","Animato","$58.95","Playable orchestral string & flute fx","no reviews","no reviews","1"
"Strings","Zero-G","Orchestral Cinematic Bundle","$168.71","Four highly acclaimed Orchestral Sample Libraries","no reviews","no reviews","1"
"Strings","Zero-G","Luminoso - Live Violin Phrases","$68.48","Playable violin phrases with clever user interface!","no reviews","no reviews","1"
"Strings","East West","Symphonic Orchestra Platinum Complete","$399.00","The complete Symphonic Orchestra, PLATINUM Edition","no reviews","no reviews","0"
"Strings","East West","Symphonic Orchestra Gold Complete","$249.00","A complete Symphonic Orchestra, GOLD Edition","2011","2011","0"
"Strings","East West","Symphonic Orchestra Platinum Plus Complete","$449.00","The complete Symphonic Orchestra, PLATINUM PLUS Edition","no reviews","no reviews","0"
"Strings","East West","QL Goliath","$199.00","More than 180 instruments and over 600 patches","no reviews","no reviews","0"
"Strings","Vir2 (by Big Fish)","VI One","$74.25","Vast Collection of Instruments across every Musical Style.","2007","2007","1"
"Strings","East West","Hollywood Orchestra + Solo Diamond Complete","$799.00","Complete Orchestra including Solo Instruments","no reviews","no reviews","0"
"Strings","East West","Symphonic Orchestra Silver Complete","$129.00","A complete Symphonic Orchestra at a budget price","no reviews","no reviews","0"
"Strings","Best Service","Complete Orchestral Collection Upgrade","$99.00","for registered users of best Service CCC OR SE","no reviews","no reviews","1"
"Brass & Winds","Best Service","Ancient ERA Persia","$259.00","Soundcollection from forgotten places of the middle east","2017","2017","0"
"Brass & Winds","Best Service","Ancient ERA Persia Upgrade","$159.00","Upgrade for registered users of Desert Winds","no reviews","no reviews","0"
"Brass & Winds","Best Service","Chris Hein Orchestral Brass Compact","$169.00","The light version of Chris Hein - Orchestral Brass","2016","2016","1"
"Brass & Winds","Best Service","Chris Hein Orchestral Brass Complete","$299.00","Collection of 9 orchestral Brass instruments and 3 Ensembles","2016","2016","1"
"Brass & Winds","Best Service","Chris Hein Winds Compact","$179.00","The light version of Chris Hein - Orchestral Woodwinds","2016","2016","1"
"Brass & Winds","Best Service","ERA II  Medieval Legends","$259.00","A huge set of historical instruments","2016","2012","0"
"Brass & Winds","Best Service","Chris Hein Winds Complete","$399.00","The most complete orchestral Woodwind instrument library","2016","2014","1"
"Brass & Winds","Best Service","Chris Hein Winds Vol 1 - Flutes","$139.00","The most complete orchestral Flute instrument library","2014","2014","1"
"Brass & Winds","Best Service","Chris Hein Winds Vol 2 - Clarinets","$139.00","The most complete orchestral clarinet instrument library","no reviews","no reviews","1"
"Brass & Winds","Best Service","Chris Hein Winds Vol 3 - Oboes","$139.00","The most complete orchestral oboe instrument library","no reviews","no reviews","1"
"Brass & Winds","Best Service","Chris Hein Winds Vol 4 - Bassoons","$139.00","The most complete orchestral Bassoon instrument library","no reviews","no reviews","1"
"Brass & Winds","Best Service","Chris Hein Chromatic Harmonica","$139.00","The ultimate chromatic harmonica","2014","2014","1"
"Brass & Winds","Best Service","Complete Orchestral Collection","$189.00","Complete Classical Orchestra for a budget price","2014","2013","1"
"Brass & Winds","Best Service","Forest Kingdom II","$259.00","The sound of forests and jungles, the sound of Mother Nature","2013","2011","0"
"Brass & Winds","Best Service","Chris Hein Horns Pro Complete","$649.00","Brass & Woodwinds library for Jazz, Pop, Big-Band, Funk","2013","2009","1"
"Brass & Winds","Best Service","Desert Winds","$119.00","Exotic soundscapes with oriental Wind instruments","2016","2011","0"
"Brass & Winds","Best Service","Chris Hein Horns Compact","$189.00","Brass & Woodwinds library for Jazz, Pop, Big-Band, Funk","2013","2011","1"
"Brass & Winds","VSL Instruments Collections","Historic Winds III","$395.00","The Natural Horn by Vienna Symphonic Library","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Historic Winds II","$565.00","Nine rare Instruments of the Renaissance and Baroque Era","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Historic Winds I","$565.00","Historic Instruments from the Renaissance and Baroque period","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Dimension Brass II","$595.00","3 muted ensembles and a brand new Wagner tuba ensemble","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Clarinet (Bb) 2","$75.00","Perfect addition to Clarinet Bb 1","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Bundles","Additional Winds Bundle","$1645.00","BUNDLE containing Saxophones, Recorders and Historic Winds","no reviews","no reviews","0"
"Brass & Winds","cinesamples","CineBrass CORE + CineWinds CORE Bundle","$499.00","Core Bundle including CineBrass & CineWinds","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineBrass + CineWinds COMPLETE Bundle","$999.00","Complete Bundle including all five Brass & Winds Libraries","no reviews","no reviews","1"
"Brass & Winds","Project SAM","Orchestral Essentials 2","$266.25","The Follow up to the much loved Original!","2015","2015","1"
"Brass & Winds","VSL Instruments Collections","Recorders","$145.00","The Recorders Collection by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Collection Vol. 4","$255.00","Vienna Symphonic Library - Special Winds & Choir","2012","2012","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 2 Woodwinds","$115.00","The Woodwinds of the SE Volume 2 Collection","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 2 Woodwinds PLUS","$120.00","The ideal extension for SE Vol 2 Woodwinds","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 1 Brass","$87.00","The brass instruments of the SE Volume 1 Collection","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 1 Brass PLUS","$125.00","The ideal extension for the Special Edition Vol 1 Brass","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 1 Woodwinds","$90.00","Die Solo-Holzblasinstrumente der SE Volume 1 Collection","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 1 Woodwinds PLUS","$125.00","The ideal extension for SE Vol 1 Woodwinds","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 2 Brass","$115.00","The brass instruments from the SE Volume 2 Collection","no reviews","no reviews","0"
"Brass & Winds","VSL Special Editions","Special Edition Section Vol. 2 Brass PLUS","$120.00","The ideal extension for Special Edition Vol 2 Brass","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Dimension Brass I","$545.00","4 epochal brass ensembles - 16 instruments!","2011","2011","0"
"Brass & Winds","VSL Instruments Bundles","Symphonic Cube","$1995.00","A professional orchestra in a giant bundle","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Bundles","Winds Complete","$4055.00","All Woodwind & Brass Vienna Instruments Collections","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Bundles","Brass Bundle","$1875.00","All Brass Collections by Vienna Instruments","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Bundles","Woodwinds Bundle","$960.00","All VSL woodwind collections in a bundle","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Special Brass","$265.00","Special to epic brass instruments and ensembles","2007","2007","0"
"Brass & Winds","VSL Instruments Collections","Special Woodwinds","$295.00","Special Woodwind Instruments with unique sound","2007","2007","0"
"Brass & Winds","VSL Instruments Collections","Saxophones","$265.00","The entire saxophone family of VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Woodwinds II","$295.00","Woodwinds for the realization of large orchestras","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Brass I","$295.00","Brass solo and ensemble with great articulation","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Brass II","$295.00","VSL Instruments for large-scale Brass Arrangements","no reviews","no reviews","0"
"Brass & Winds","VSL Instruments Collections","Woodwinds I","$345.00","The most important Woodwinds, as solos and ensembles","no reviews","no reviews","0"
"Brass & Winds","Big Fish Audio","Vintage Horns 2","$139.30","The character and tone of the 60s and 70s horns","no reviews","no reviews","1"
"Brass & Winds","Fable Sounds","Broadway Gig","$199.00","Created specifically for keyboardists playing live shows!","no reviews","no reviews","1"
"Brass & Winds","Project SAM","Swing More!","$356.25","ProjectSAM's 2nd Jazzy Film Scoring Library","no reviews","no reviews","1"
"Brass & Winds","Impact Soundworks","Bansuri","$79.00","An ancient, legendary flute from India","no reviews","no reviews","1"
"Brass & Winds","Impact Soundworks","Straight Ahead Jazz Horns","$179.00","The ultimate virtual horn and sax band!","no reviews","no reviews","1"
"Brass & Winds","Best Service","Chris Hein Winds Complete Upgrade","$289.00","Upgrade for registered users of Chris Hein Winds Compact","no reviews","no reviews","1"
"Brass & Winds","Best Service","Chris Hein Orchestral Brass Complete Upgrade","$189.00","Upgrade for users of Chris Hein Orchestral Brass Compact","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineBrass Descant Horn","$99.00","A perfect partner to CineBrass Core and Pro","no reviews","no reviews","1"
"Brass & Winds","Impact Soundworks","Shakuhachi","$69.00","The deepest Shakuhachi ever released","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineWinds CORE","$249.00","Essentials of the Orchestral Woodwinds Section","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineWinds PRO","$279.00","Expansion to the Orchestral CineWinds CORE Library","no reviews","no reviews","1"
"Brass & Winds","Impact Soundworks","Bravura","$149.00","Collection of Scoring Brass Instruments","no reviews","no reviews","1"
"Brass & Winds","Soundiron","Little Wooden Flutes","$49.00","Indian & Native American Plains Flutes library for Kontakt","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineBrass COMPLETE Bundle","$599.00","Three Brass Libraries from the CineSymphony Series","2015","2015","1"
"Brass & Winds","cinesamples","CineBrass PRO","$279.00","Orchestral Brass Expansion recorded at the MGM Stage","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineBrass CORE","$279.00","Orchestral Brass Essentials recorded at the MGM Stage","no reviews","no reviews","1"
"Brass & Winds","cinesamples","CineWinds COMPLETE Bundle","$469.00","Bundle containing 2 libraries from the CineWinds Series","no reviews","no reviews","1"
"Brass & Winds","VSL Single Instruments","Trumpet (Bb) Muted","$115.00","Muted Trumpet in Bb - solo instrument","no reviews","no reviews","0"
"Brass & Winds","Project SAM","Symphobia Colours Pack","$222.00","Bundle including ANIMATOR & ORCHESTRATOR","no reviews","no reviews","1"
"Brass & Winds","Project SAM","Orchestrator","$132.75","Inspirational tool for orchestral production","2014","2014","1"
"Brass & Winds","VSL Single Instruments","Flügelhorn","$115.00","The Flugelhorn by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Contra Bassoon","$50.00","The Contra Bassoon by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Contrabass Trombone","$45.00","The Contrabass Trombone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Contrabass Tuba","$50.00","The Contrabass Tuba by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Tenor Trombone Muted","$65.00","The muted tenor trombone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trombone Ensemble Muted","$60.00","The muted trombone ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trumpet (C,muted)","$60.00","The muted trumpet in C by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trumpet Ensemble Muted","$60.00","The muted trumpet ensemble of VSL","no reviews","no reviews","0"
"Brass & Winds","East West","Hollywood Orchestral Woodwinds Diamond","$199.00","Hollywood-Sound Woodwinds, DIAMOND version","no reviews","no reviews","0"
"Brass & Winds","East West","Hollywood Orchestral Woodwinds Gold","$132.00","Hollywood-sound Woodwinds, the GOLD version","2013","2012","0"
"Brass & Winds","Sample Logic","Fanfare","$336.44","Blue Devils marching brass, cinematic soundscapes","2012","2012","1"
"Brass & Winds","VSL Single Instruments","Viennese Horn","$50.00","The Viennese horn by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bassoon Ensemble","$50.00","The bassoon ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Piccolo Flute","$50.00","The Piccolo Flute by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Alto Flute","$50.00","The Alto Flute in G by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Cornet","$70.00","The cornet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Viennese Oboe","$50.00","The Viennese oboe by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Cimbasso","$45.00","The Cimbasso by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Piccolo Trumpet","$40.00","The piccolo trumpet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Alto Saxophone","$60.00","The Alto saxophone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","English Horn ( Vienesse)","$50.00","The English horn by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Wagner Tuba","$45.00","The Wagner Tuba by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Clarinet (Bb) 1","$60.00","The clarinet in Bb by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Tenor Saxophone","$60.00","The transposing Tenor saxophone in Bb by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Alto Trombone","$70.00","The alto trombone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","English Horn (French)","$50.00","The English horn (French) by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","XXL Tamtam","$65.00","XXL Tamtam Percussion by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Tenor Trombone","$50.00","The Tenor Trombone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Baritone Saxophone","$55.00","The Baritone saxophone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Epic Horns","$80.00","The epic eight double horns by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Clarinet (Eb)","$50.00","The clarinet in Eb by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Clarinet Ensemble","$50.00","The clarinet ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Euphonium","$70.00","The Euphonium by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Clarinet","$50.00","The bass clarinet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Fanfare Trumpets","$75.00","The epic Fanfare Trumpets by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Contrabass Clarinet","$65.00","The rare contrabass clarinet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Triple Horn","$50.00","The Tripelhorn by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Flute","$65.00","The special bass flute by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trombone Ensemble","$55.00","The Trombone Ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Saxophone","$55.00","The Bass Saxophone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Flute 1","$60.00","The concert flute by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Flute 2","$50.00","The second concert flute of the VSL orchestra","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Trombone","$45.00","The Bass Trombone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Flute Ensemble","$50.00","One of VSL's famous Woodwind Ensembles with three players","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trumpet (Bb)","$115.00","The Bb trumpet, played by Alfred (Freddy) Staudigl","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Trumpet","$45.00","The powerful bass trumpet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","French Oboe","$60.00","The French Oboe by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Tuba","$50.00","The bass tuba by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bass Waterphone","$65.00","The evocative bass waterphone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Heckelphone","$65.00","The Heckelphone by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trumpet (C)","$50.00","The C Trumpet by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bassett Horn","$65.00","The warm, full-sounding bassett by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Horn Ensemble","$55.00","The horn ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Trumpet Ensemble","$55.00","The Trumpet Ensemble by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Bassoon 1","$60.00","The bassoon by VSL","no reviews","no reviews","0"
"Brass & Winds","VSL Single Instruments","Oboe d Amore","$65.00","The oboe d Amore (hautbois d’amour/oboe of love) by VSL","no reviews","no reviews","0"
